Name,Organization,id,Description,Translation Required,Spanish_Description,locations,address_1 (from address) (from locations) 2,city (from address) (from locations) 3,Zip Code (from address) (from locations) 3,latitude (from locations) 2,longitude (from locations) 2,url,email,active,application_process,service_options,payment_options,taxonomy,phones,schedule,weekday (from schedule) 3,opens_at (from schedule) 3,closes_at (from schedule) 3,add_day (from schedule) 4,add_hours (from schedule) 4,med_area,legal_area,cash_area,dv_area,foodstamp_area,freefood_area,details,service_area,Last updated,Updated By,owner,status,Auto-Last updated,Auto-Last updated by,Questions/Confusions/Observations
John Ehrhardt Elementary,Elk Grove Unified,4822,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8900 Old Creek Dr,8900 Old Creek Dr,Elk Grove,94758,38.43017,-121.434185,http://blogs.egusd.net/fns/,,Open,,"In person,Curbside Pickup",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Joseph Kerr Middle,Elk Grove Unified,4823,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8865 Elk Grove Blvd,8865 Elk Grove Blvd,Elk Grove,94624,38.410282,-121.3729647,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Laguna Creek High,Elk Grove Unified,4824,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",9050 Vicino Dr,9050 Vicino Dr,Elk Grove,95758,38.4274359,-121.4267038,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Maeola Beitzel Elementary,Elk Grove Unified,4825,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8140 Caymus Dr,8140 Caymus Dr,Sacramento,95829,38.462047,-121.3641718,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Marion Mix Elementary,Elk Grove Unified,4826,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",4730 Laguna Park Drive,4730 Laguna Park Drive,Elk Grove,95758,38.4285699,-121.4496068,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Mary Tsukamoto Elementary,Elk Grove Unified,4827,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8737 Brittany Park Dr,8737 Brittany Park Dr,Sacramento,95828,38.4620215,-121.3787865,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Pleasant Grove Elementary,Elk Grove Unified,4828,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",10160 Pleasant Grove School Rd,10160 Pleasant Grove School Rd,Elk Grove,95624,38.4308498,-121.3130555,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Pleasant Grove Elementary,Wednesday,6:45 AM,8:00 AM,,,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:35am,Andy Chen,"The time is never specified specifically, but I'm inferring based on the blog posts from here: https://blogs.egusd.net/pressroom/2020/08/25/elk-grove-unified-will-provide-a-new-curb-side-meal-service-model-with-changes-beginning-august-26th-and-new-service-starting-september-8th/"
Pleasant Grove High,Elk Grove Unified,4829,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",9531 Bond Rd,9531 Bond Rd,Elk Grove,94624,38.4237093,-121.3424248,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Prairie Elementary,Elk Grove Unified,4830,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",5251 Valley Hi Dr,5251 Valley Hi Dr,Sacramento,95823,38.4661968,-121.4408182,http://blogs.egusd.net/fns/,,Open,,"In person,Curbside Pickup",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:49am,Andy Chen,
Raymond Case Elementary,Elk Grove Unified,4831,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8565 Shasta Lily Dr,8565 Shasta Lily Dr,Elk Grove,95624,38.4433103,-121.3853185,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Robert Fite Elementary,Elk Grove Unified,4832,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",9561 Fite School Rd,9561 Fite School Rd,Sacramento,95829,38.4653519,-121.3407828,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Roy Herburger Elementary,Elk Grove Unified,4833,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8670 Maranello Drive,8670 Maranello Drive,Elk Grove,95624,38.441936,-121.3927873,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Samuel Kennedy Elementary,Elk Grove Unified,4834,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",7037 Briggs Dr,7037 Briggs Dr,Sacramento,95828,38.4996685,-121.4185386,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Sheldon High,Elk Grove Unified,4835,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",8333 Kingsbridge Dr,8333 Kingsbridge Dr,Sacramento,95829,38.4555972,-121.3485283,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Sierra Enterprise Elementary,Elk Grove Unified,4836,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",9115 Fruitridge Rd,9115 Fruitridge Rd,Sacramento,95826,38.5253247,-121.3621077,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Union House Elementary,Elk Grove Unified,4837,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",7850 Deer Creek Dr,7850 Deer Creek Dr,Sacramento,95823,38.4721378,-121.4547519,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Valley High,Elk Grove Unified,4838,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",6300 Ehrhardt Ave,6300 Ehrhardt Ave,Sacramento,95823,38.454738,-121.427822,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Zehnder Ranch Elementary,Elk Grove Unified,4839,"Expanding access to free meals to all children 18 years and younger, regardless of school enrollment. Meals will be provided in the curbside or mobile meal service at no cost. This will remain in effect during Distance Learning.

Children do not need to be present as long as parents/guardians have received the proper validation since the start of the 20-21 school year. To receive a validation form, parents/guardians must either bring the child on the initial visit or provide documentation of said child (i.e. school record or childcare documentation). Proof must include the child’s name.",,"Ofrecemos acceso a comidas gratuitas para recoger a TODOS los niños de 18 años o menos, no importa su inscripción escolar. Esto permanecerá durante el aprendizaje a distancia.

Los niños no necesitan estar presentes si los padres / tutores hayan recibido la validación adecuada desde el comienzo del año escolar 20-21. Para recibir un formulario de validación, los padres o tutores deben traer al niño a la visita inicial o traer documentación del niño (es decir, registro escolar o documentación de cuidado infantil). El documento debe incluir el nombre del niño.",9880 Denali Cir,9880 Denali Cir,Elk Grove,95757,38.3995551,-121.4065691,http://blogs.egusd.net/fns/,,Open,,"Curbside Pickup,In person",Free,School Meals,(916) 686-7768,Elk Grove Unified- All Schools,"Tuesday, Friday",6:45 AM,8:00 AM,"Tuesday, Friday",11:30 AM- 12:30 PM,,,,,,"Breakfast,Lunch,Snack,Supper",All Children,,10/12/2020,Andy,Andy Chen,Vetted,10/13/2020 12:50am,Andy Chen,
Calaveras Elementary,Hollister,4840,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,1151 Buena Vista Dr.,1151 Buena Vista Dr.,"Hollister, CA",95023,36.857187,-121.417394,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
Valley View (Whale) Park,Hollister,4841,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,2381 Driftwood Ct,2381 Driftwood Ct,Hollister,95023,36.8236199,-121.3710704,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
Dunn Park,Hollister,4842,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,600 West St,600 West St,Hollister,95023,36.850117,-121.40583,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
San Benito Health Foundation,Hollister,4843,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,351 Felice Dr,351 Felice Dr,Hollister,95023,36.8532385,-121.4163326,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
San Benito County Library,Hollister,4844,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,470 5th St,470 5th St,Hollister,95023,36.8515908,-121.4048629,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
Southside School,Hollister,4845,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,4991 Southside Rd,4991 Southside Rd,Hollister,95023,36.830279,-121.392935,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
Migrant Camp,Hollister,4846,Pick up in the bus lane of each school.,,Recoger en el carril del autobus de cada escuela.,3235 Southside Rd,3235 Southside Rd,Hollister,95023,36.830279,-121.392935,http://www.schoolnutritionandfitness.com/index.php?sid=2801091649178438&page=menus&sm=9&sy=2020#clicktoscroll,,Open,,In person,Free,School Meals,(831) 630-6300,Hollister Unified: All Schools,Monday,10:00 am,7:00 pm,,,,,,,,"Breakfast,Lunch,Supper",All Children,,10/15/2020,Aidan,Aidan Lee,Vetted,10/16/2020 12:35am,Aidan Lee,
